datetime,timestamp,zone_name,total_consumption_avg,power_production_biomass_avg,power_production_coal_avg,power_production_gas_avg,power_production_hydro_avg,power_production_nuclear_avg,power_production_oil_avg,power_production_solar_avg,power_production_wind_avg,power_production_geothermal_avg,power_production_unknown_avg
2019-01-01 00:00:00,1546300800,GMT+9,53016.39061371463,623.6534450266813,22475.652183739385,14204.082248856483,536.2798741427267,13068.285815337622,336.27058006667835,0.0,824.1687450454086,0.0,947.9977214996462
2019-01-01 01:00:00,1546304400,GMT+9,50908.129437614385,623.6534450266813,21202.422210320903,13399.430925891553,505.8999944258834,13068.285815337622,336.27058006667835,0.0,824.1687450454086,0.0,947.9977214996462
2019-01-01 02:00:00,1546308000,GMT+9,49357.86286899181,623.6534450266813,20394.001101845202,12888.52784630002,486.61067784617006,13068.285815337622,336.27058006667835,0.0,612.5156810697923,0.0,947.9977214996462
2019-01-01 03:00:00,1546311600,GMT+9,48475.68314006106,623.6534450266813,19939.65490738635,12601.391763983469,475.7697590603784,13068.285815337622,336.27058006667835,0.0,482.659147700228,0.0,947.9977214996462
2019-01-01 04:00:00,1546315200,GMT+9,48385.62939025605,623.6534450266813,19931.777840596507,12596.413643497883,475.58180845711496,13068.285815337622,336.27058006667835,0.0,405.64853577392074,0.0,947.9977214996462
2019-01-01 05:00:00,1546318800,GMT+9,49188.889819338896,623.6534450266813,20436.850997665224,12915.607970142783,487.63309697552535,13068.285815337622,336.27058006667835,0.0,372.5901926247403,0.0,947.9977214996462
2019-01-01 06:00:00,1546322400,GMT+9,50346.09803166701,623.6534450266813,21174.652785161434,13381.881303938693,505.237402581705,13068.285815337622,336.27058006667835,0.0,308.11897805454515,0.0,947.9977214996462
2019-01-01 07:00:00,1546326000,GMT+9,51590.14260736282,623.6534450266813,22024.99584903693,13919.278070906399,525.5269971859146,13068.285815337622,336.27058006667835,0.0,144.1341283029455,0.0,947.9977214996462
2019-01-01 08:00:00,1546329600,GMT+9,52638.38004286814,623.6534450266813,22714.220181636825,14354.851598567804,541.9722213476492,13068.285815337622,336.27058006667835,0.0,51.12847938522906,0.0,947.9977214996462
2019-01-01 09:00:00,1546333200,GMT+9,54504.0438144838,623.6534450266813,23772.449050088322,15023.627292492898,567.2220712629255,13068.285815337622,336.27058006667835,154.17798300600882,10.359855703008842,0.0,947.9977214996462
2019-01-01 10:00:00,1546336800,GMT+9,56393.116313872175,623.6534450266813,23717.682578195083,14989.016173541071,565.9153168953973,13068.285815337622,336.27058006667835,2126.3713489578718,17.923334352127746,0.0,947.9977214996462
2019-01-01 11:00:00,1546340400,GMT+9,57653.67406299128,623.6534450266813,23843.73924981798,15068.681017840636,568.923089726198,13068.285815337622,336.27058006667835,3173.496816873682,22.62632680214966,0.0,947.9977214996462
2019-01-01 12:00:00,1546344000,GMT+9,57938.31061177967,623.6534450266813,23170.238206455575,14643.044238253373,552.8530308101458,13068.285815337622,336.27058006667835,4561.098663927761,34.86891040219516,0.0,947.9977214996462
2019-01-01 13:00:00,1546347600,GMT+9,57873.2309239437,623.6534450266813,22904.078033237718,14474.837284308273,546.5023210274796,13068.285815337622,336.27058006667835,4888.726877815529,82.87884562407073,0.0,947.9977214996462
2019-01-01 14:00:00,1546351200,GMT+9,58206.8117250682,623.6534450266813,23130.93833534497,14618.207646324428,551.9153169782747,13068.285815337622,336.27058006667835,4747.397060060022,182.14580442986804,0.0,947.9977214996462
2019-01-01 15:00:00,1546354800,GMT+9,58886.94722867971,623.6534450266813,23908.319126145732,15109.49397701448,570.4639966447637,13068.285815337622,336.27058006667835,4015.05164078148,307.4109261626165,0.0,947.9977214996462
2019-01-01 16:00:00,1546358400,GMT+9,60972.86160560523,623.6534450266813,26795.75466643449,16934.285158478175,639.3595977816053,13068.285815337622,336.27058006667835,1400.4500123045802,226.8046086757456,0.0,947.9977214996462
